hand0,hand1,cc0,cc1,cc2,cc3,cc4,b0,b1,b2,mean
0,1,2,3,4,8,18,0,0,990,1
0,1,2,3,4,8,19,0,0,990,1
0,1,2,3,4,8,20,0,0,990,1
0,1,2,3,4,8,21,0,0,990,1
0,1,2,3,4,8,22,0,0,990,1
0,1,2,3,4,8,23,0,0,990,1
0,1,2,3,4,8,24,0,0,990,1
0,1,2,3,4,8,25,0,0,990,1
0,1,2,3,4,8,26,0,0,990,1
0,1,2,3,4,8,27,0,0,990,1
0,1,2,3,4,8,28,0,0,990,1
0,1,2,3,4,8,29,0,0,990,1
0,1,2,3,4,8,30,0,0,990,1
0,1,2,3,4,8,31,0,0,990,1
0,1,2,3,4,8,32,0,0,990,1
0,1,2,3,4,8,33,0,0,990,1
0,1,2,3,4,8,34,0,0,990,1
0,1,2,3,4,8,35,0,0,990,1
0,1,2,3,4,8,36,0,0,990,1
0,1,2,3,4,8,37,0,0,990,1
0,1,2,3,4,8,38,0,0,990,1
0,1,2,3,4,8,39,0,0,990,1
0,1,2,3,4,8,40,0,0,990,1
0,1,2,3,4,8,41,0,0,990,1
0,1,2,3,4,8,42,0,0,990,1
0,1,2,3,4,8,43,0,0,990,1
0,1,2,3,4,8,44,0,0,990,1
0,1,2,3,4,8,45,0,0,990,1
0,1,2,3,4,8,46,0,0,990,1
0,1,2,3,4,8,47,0,0,990,1
0,1,2,3,4,8,48,0,0,990,1
0,1,2,3,4,8,49,0,0,990,1
0,1,2,3,4,8,50,0,0,990,1
0,1,2,3,4,8,51,0,0,990,1
0,1,2,3,4,9,10,15,0,975,0.984848
0,1,2,3,4,9,11,15,0,975,0.984848
0,1,2,3,4,9,12,15,0,975,0.984848
0,1,2,3,4,9,13,0,0,990,1
0,1,2,3,4,9,14,0,0,990,1
0,1,2,3,4,9,15,0,0,990,1
0,1,2,3,4,9,16,0,0,990,1
0,1,2,3,4,9,17,0,0,990,1
0,1,2,3,4,9,18,0,0,990,1
0,1,2,3,4,9,19,0,0,990,1
0,1,2,3,4,9,20,0,0,990,1
0,1,2,3,4,9,21,0,0,990,1
0,1,2,3,4,9,22,0,0,990,1
0,1,2,3,4,9,23,0,0,990,1
0,1,2,3,4,9,24,0,0,990,1
0,1,2,3,4,9,25,0,0,990,1
0,1,2,3,4,9,26,0,0,990,1
0,1,2,3,4,9,27,0,0,990,1
0,1,2,3,4,9,28,0,0,990,1
0,1,2,3,4,9,29,0,0,990,1
0,1,2,3,4,9,30,0,0,990,1
0,1,2,3,4,9,31,0,0,990,1
0,1,2,3,4,9,32,0,0,990,1
0,1,2,3,4,9,33,0,0,990,1
0,1,2,3,4,9,34,0,0,990,1
0,1,2,3,4,9,35,0,0,990,1
0,1,2,3,4,9,36,0,0,990,1
0,1,2,3,4,9,37,0,0,990,1
0,1,2,3,4,9,38,0,0,990,1
0,1,2,3,4,9,39,0,0,990,1
0,1,2,3,4,9,40,0,0,990,1
0,1,2,3,4,9,41,0,0,990,1
0,1,2,3,4,9,42,0,0,990,1
0,1,2,3,4,9,43,0,0,990,1
0,1,2,3,4,9,44,0,0,990,1
0,1,2,3,4,9,45,0,0,990,1
0,1,2,3,4,9,46,0,0,990,1
0,1,2,3,4,9,47,0,0,990,1
0,1,2,3,4,9,48,0,0,990,1
